interval:70
pressure,temperature
948.12,19.54
948.14,19.54
948.15,19.55
948.14,19.55
948.19,19.54
948.15,19.55
948.16,19.55
948.16,19.55
948.17,19.55
948.16,19.55
948.18,19.55
948.13,19.55
948.14,19.55
948.15,19.55
948.09,19.55
948.15,19.55
948.14,19.55
948.13,19.56
948.11,19.55
948.15,19.55
948.13,19.55
948.09,19.55
948.1,19.55
948.07,19.55
948.14,19.55
948.14,19.56
948.13,19.55
948.13,19.55
948.13,19.56
948.1,19.55
948.06,19.55
948.06,19.55
948.11,19.55
948.14,19.56
948.11,19.55
948.09,19.56
948.11,19.56
948.16,19.56
948.1,19.55
948.15,19.56
948.13,19.55
948.14,19.56
948.19,19.56
948.16,19.56
948.12,19.56
948.11,19.56
948.12,19.56
948.11,19.56
948.17,19.56
948.14,19.56
948.13,19.56
948.09,19.56
948.14,19.56
948.09,19.56
948.11,19.56
948.13,19.56
948.14,19.56
948.14,19.56
948.15,19.56
948.14,19.56
948.15,19.56
948.15,19.56
948.11,19.56
948.14,19.56
948.13,19.56
948.15,19.56
948.18,19.56
948.15,19.56
948.07,19.56
948.09,19.57
948.06,19.56
948.06,19.56
948.12,19.57
948.1,19.56
948.08,19.57
948.09,19.56
948.1,19.56
948.11,19.57
948.13,19.57
948.09,19.56
948.13,19.56
948.09,19.57
948.15,19.57
948.11,19.57
948.14,19.57
948.15,19.57
948.17,19.57
948.13,19.57
948.16,19.57
948.15,19.57
948.14,19.57
948.19,19.57
948.13,19.57
948.17,19.57
948.12,19.57
948.11,19.57
948.13,19.57
948.12,19.57
948.13,19.57
948.14,19.57
948.08,19.57
948.04,19.57
948.13,19.57
948.14,19.57
948.11,19.57
948.05,19.57
948.06,19.57
948.09,19.57
948.06,19.57
948.01,19.57
948.05,19.57
948.09,19.57
947.99,19.57
948.04,19.57
948.05,19.57
948.06,19.57
948.04,19.57
948.02,19.57
948.04,19.57
948.07,19.57
948.12,19.57
948.08,19.57
948.06,19.57
948.1,19.57
948.11,19.57
948.05,19.57
948.06,19.57
948.05,19.57
948.06,19.57
948.07,19.57
948.07,19.57
948.07,19.57
948.07,19.57
948.08,19.57
948.09,19.57
948.13,19.58
948.13,19.57
948.04,19.58
948.08,19.57
948.06,19.58
948.06,19.58
948.1,19.58
948.05,19.58
948.1,19.57
948.06,19.58
948.08,19.58
948.06,19.58
948.06,19.58
948.11,19.58
948.08,19.58
948.08,19.58
948.08,19.58
948.17,19.58
948.13,19.58
948.08,19.58
948.11,19.58
948.08,19.58
948.1,19.58
948.16,19.58
948.08,19.58
948.08,19.58
948.09,19.58
948.11,19.58
948.11,19.58
948.1,19.58
948.1,19.58
948.15,19.58
948.14,19.58
948.07,19.58
948.13,19.58
948.13,19.58
948.14,19.58
948.15,19.58
948.07,19.58
948.12,19.58
948.12,19.58
948.12,19.58
948.13,19.58
948.12,19.58
948.13,19.59
948.12,19.58
948.11,19.58
948.14,19.58
948.08,19.58
948.12,19.59
948.16,19.59
948.14,19.58
948.12,19.58
948.11,19.59
948.13,19.59
948.15,19.59
948.12,19.59
948.13,19.59
948.1,19.59
948.12,19.59
948.13,19.59
948.16,19.59
948.15,19.59
948.14,19.59
948.1,19.59
948.13,19.59
948.13,19.59
948.08,19.59
948.09,19.59
948.09,19.59
948.17,19.59
948.13,19.59
948.15,19.59
948.12,19.59
948.1,19.59
948.15,19.59
948.13,19.59
948.1,19.59
948.13,19.59
948.06,19.59
948.13,19.6
948.07,19.6
948.1,19.6
948.12,19.59
948.08,19.6
948.06,19.6
948.13,19.6
948.11,19.6
948.1,19.6
948.07,19.6
948.13,19.6
948.09,19.6
948.09,19.6
948.1,19.6
948.02,19.6
948.04,19.6
948.14,19.6
948.04,19.6
948.07,19.6
948.12,19.6
948.13,19.6
948.06,19.6
948.12,19.6
948.1,19.6
948.1,19.6
948.13,19.6
948.1,19.6
948.14,19.6
948.1,19.6
948.14,19.6
948.12,19.6
948.08,19.6
948.12,19.6
948.13,19.6
948.14,19.6
948.1,19.6
948.01,19.6
948.04,19.6
948.03,19.6
948.07,19.6
948.04,19.6
948.07,19.6
948.08,19.6
948.08,19.6
948.09,19.6
948.1,19.6
948.09,19.6
948.07,19.6
948.04,19.6
948.02,19.6
948.09,19.61
948.08,19.61
948.04,19.6
948.08,19.6
948.04,19.61
948.08,19.61
948.04,19.61
948.08,19.61
948.11,19.6
948.09,19.61
948.15,19.6
948.2,19.61
948.11,19.61
948.03,19.61
947.76,19.61
947.39,19.61
946.96,19.61
946.42,19.61
945.85,19.61
945.14,19.61
944.37,19.61
943.51,19.61
942.62,19.61
941.52,19.61
940.4,19.61
939.27,19.61
938.1,19.61
936.94,19.61
935.5,19.61
933.69,19.6
931.85,19.6
930.36,19.6
928.43,19.59
926.29,19.59
924.09,19.59
922.49,19.59
919.76,19.58
917.33,19.58
915.71,19.57
912.7,19.57
910.38,19.57
907.67,19.56
904.62,19.56
901.35,19.56
897.82,19.55
893.87,19.55
890.19,19.55
892.98,19.55
895.38,19.54
896.2,19.54
896.11,19.53
895.46,19.54
894.06,19.53
892.86,19.53
893.3,19.53
895.47,19.53
898.88,19.53
902.09,19.53
904.29,19.53
904.95,19.53
903.92,19.53
902.53,19.53
901.05,19.53
899.32,19.53
897.34,19.53
894.55,19.53
892.19,19.53
889.8,19.53
